#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.IndependentStructuredCoalescent">
#            <parameter id="epi.timeStep" name="timeStep">0.01</parameter>
#            <parameter dimension="3" id="coalRates" name="coalescentRates">1.0 2.0 4.0</parameter>
#            <parameter dimension="6" id="migRates" name="migrationRates">1.0 2.0 0.1 0.3 1.0 1.0</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">3</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="tree">
#                    <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                        <taxa id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset alignment="@sequences" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#                </tree>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-378.6291366263491	168.7647517722042
100	-310.46182549210135	143.54616570672792
200	-205.53870689930852	135.72116587217957
300	-107.61601845460463	84.19493121266684
400	-59.86718347987108	51.232550531434114
500	-40.61768613153725	34.950128994239115
600	-22.40372170288862	19.454040231977235
700	-13.656640726739596	10.32635330033138
800	-6.789986710235316	4.3678961665905405
900	-5.131852136170537	2.7810768504474
1000	-6.204084217157419	2.598637827832597
1100	-3.504003062270488	3.313900088489447
1200	-5.6971776912082195	2.931854317176473
1300	-6.621962559227105	2.334292591043481
1400	-3.9700285021894803	3.8105662869089114
1500	-6.189479617577181	4.7500840651734375
1600	-6.2632309392312155	4.378039512752597
1700	-9.62270062262649	3.840065653432605
1800	-4.609556131550825	2.340585893767961
1900	-9.703208865608575	3.7700936812881256
2000	-3.0355675679881458	2.1576074588597036
2100	-2.898242570271852	2.866663649415725
2200	-3.623278881094833	2.4331669105643803
2300	-4.734589567167487	3.3882635765190456
2400	-4.085972221623148	3.5975314746425537
2500	-12.403378548079653	3.8588066437676583
2600	-10.81072135309585	6.559227823421488
2700	-6.221780944831656	4.455216258266175
2800	-4.576407833876651	3.4430011869537065
2900	-4.09838464154992	3.147939468612808
3000	-5.797388449755475	2.9104607843508763
3100	-4.7117034318747475	2.8961472878416155
3200	-6.644338907015262	2.3537725365786626
3300	-6.515101516701199	3.1823372829507823
3400	-7.975814410529544	4.3891640014399975
3500	-4.325859319472514	2.087647273337346
3600	-5.262786712462823	3.082610616664201
3700	-5.105883235501495	3.9825445866013673
3800	-4.876646763746637	2.2049926920909177
3900	-6.9283937036418815	3.1345774266595887
4000	-3.0550823962125335	2.7112660374004425
4100	-6.369754902974362	2.886513039418977
4200	-7.204897375588999	2.2468680346351806
4300	-2.5090571893068976	2.5125074347595278
4400	-8.771197507022853	5.133190899238954
4500	-5.0573724357169425	2.9295624598711547
4600	-8.2282315214526	2.856519501280332
4700	-8.62802559863709	3.4567112264314055
4800	-7.092675401358666	2.945539281352876
