#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ApproximateStructuredCoalescent">
#            <parameter dimension="3" id="coalRates" name="coalescentRates">1.0 2.0 4.0</parameter>
#            <parameter dimension="6" id="migRates" name="migrationRates">0.01 0.02 0.001 0.003 0.01 0.01</parameter>
#            <parameter id="epi.timeStep" name="timeStep">0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">3</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="tree">
#                    <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="inv0_0=0,inv1_0=10,inv2_0=5,inv0_1=1,inv1_1=4,inv0_2=8">
#                        <taxa id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset alignment="@sequences" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#                </tree>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-334.2575465157882	147.75863464618578
100	-82.53111034093506	64.40562194059105
200	-24.958143797861265	47.94874418394607
300	-20.40548675869132	31.545712467221563
400	-12.39247794419953	23.66385181633359
500	-13.693870243995846	25.82673453139445
600	-10.65656446559691	22.195559668119706
700	-11.534616376700647	13.639069367298074
800	-13.515737203785331	15.255702233643598
900	-8.108589185390585	15.953503996941214
1000	-6.560246174188214	13.814198893138023
1100	-9.850814407440891	14.42558903815646
1200	-8.401282543749106	21.614510360417775
1300	-10.58686079107247	16.37158014555005
1400	-9.700611493860208	17.927030326673847
1500	-9.969993218580898	17.087425679638862
1600	-12.061853010418616	14.525869863385704
1700	-10.831279567375347	16.356232890064412
1800	-14.557144501479607	15.465819931564864
1900	-11.65782814506891	10.81128383758329
2000	-12.043362328224285	11.163055732845429
2100	-8.736005467832861	13.793946548696919
2200	-10.232961795701293	15.575232936988701
2300	-8.939907939810032	14.062508031774582
2400	-14.274592049368513	18.309689339824548
2500	-8.873119790229923	16.419360939961493
2600	-10.47458446213647	15.832342097537534
2700	-8.99721326992643	16.2984963737612
2800	-9.746301272745042	15.253074821170914
2900	-9.66741582572182	16.351129181280676
3000	-10.331803782199062	12.20604316256044
3100	-9.057185114779177	15.306430705944251
3200	-9.714116454939147	20.51725934601986
3300	-10.452015314333078	20.464780511128335
3400	-11.128355994350372	14.093840770416849
3500	-8.513343455819102	12.896517692461602
3600	-7.185397161842614	15.013225531956419
3700	-6.898641201128786	11.88631369239749
3800	-9.40167074377491	15.769400605713432
3900	-10.873246817737456	17.59809239821675
4000	-7.187275090194783	15.331748559856154
4100	-12.174210243129991	18.438199330353537
4200	-8.579110077024987	17.491819065320243
4300	-9.72359589201339	20.46096811468169
4400	-17.080450673426352	22.159360156713987
