#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ApproximateStructuredCoalescent">
#            <parameter dimension="3" id="coalRates" name="coalescentRates">1.0 2.0 4.0</parameter>
#            <parameter dimension="6" id="migRates" name="migrationRates">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#            <parameter id="epi.timeStep" name="timeStep">0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">3</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="tree">
#                    <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                        <taxa id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset alignment="@sequences" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#                </tree>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-418.18827729315035	168.7647517722042
100	-215.4675259575433	105.95823372802559
200	-120.80881626731151	66.5278475448387
300	-83.89054976342653	59.85513188412873
400	-45.99720549574087	37.70518237226189
500	-27.093211581796258	21.936853038855393
600	-14.758500375718677	15.963440321806644
700	-9.175266302896334	8.559568029261468
800	-15.195857122080296	10.108536247668582
900	-8.79454903787158	3.5788104218020123
1000	-6.214815487150451	5.566999115169529
1100	-9.467143748917179	3.4659867594559337
1200	-6.586417960526792	6.170061847220821
1300	-9.825275509307355	5.045961728784054
1400	-5.385804164991336	3.1023446274567026
1500	-8.380760866690604	7.249916398448501
1600	-8.163541700388574	6.316842455919782
1700	-8.376638677461296	6.338216341342498
1800	-7.490469344235581	4.889225806702555
1900	-5.092893051473762	4.181891736141126
2000	-7.4924641830155485	4.951921667720144
2100	-5.695758160220024	4.9186127436552285
2200	-4.398613516453203	3.953123787941446
2300	-4.591583171347373	3.88531146692939
2400	-9.420177474425502	4.899582611593304
2500	-8.106291019762182	4.48262139197507
2600	-6.045989047580954	6.0255184349482205
2700	-5.210066493613536	4.65674323891693
2800	-6.94162421443804	3.5505623531869213
2900	-7.008057397679136	5.335572307708924
3000	-6.123618627283812	3.4610154898350673
3100	-6.962439258066809	2.9243763952485584
3200	-7.517329280597069	6.402508971150771
3300	-14.096608008496371	4.680991005779335
