#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ExactStructuredCoalescent">
#            <parameter id="epi.timeStep" name="timeStep">0.01</parameter>
#            <parameter dimension="3" id="coalRates" name="coalescentRates">1.0 2.0 4.0</parameter>
#            <parameter dimension="6" id="migRates" name="migrationRates">0.01 0.02 0.001 0.003 0.01 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">3</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="tree">
#                    <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                        <taxa id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset alignment="@sequences" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#                </tree>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-56.00881498404686	168.7647517722042
100	-53.03042871001351	204.2811146891534
200	-49.74532732094113	203.608019861173
300	-32.802152509119765	116.40394153346891
400	-17.485157979626983	83.0151523051165
500	-14.43884928245749	62.78495996580864
600	-13.481411128534173	64.49081143455345
700	-13.770641708502957	58.955781376326385
800	-12.461731920758469	49.99954650358113
900	-16.58143436335648	49.31047733185974
1000	-13.641391870124671	52.823855856332216
1100	-12.966164206977393	43.28350293270716
1200	-14.542315506602918	36.90175010842295
1300	-14.650182494348588	36.34497059881368
1400	-14.629165937543034	26.23152840917891
1500	-14.155076489311256	37.12303540069721
1600	-14.21658785825343	45.98468550757102
1700	-13.429690748483086	42.31371526598029
1800	-19.04388398530685	22.397666701311277
1900	-13.193764831958873	32.30975259685297
2000	-13.290658087524772	24.47284210448372
2100	-15.09275433030982	30.832172264397347
2200	-13.099074088830893	22.227722835500646
2300	-19.408190673885713	28.300054685027366
2400	-13.874952845081381	32.63155631719043
2500	-14.111851379226778	19.819629436934914
2600	-14.3395858596725	36.856379079029644
2700	-13.796171557236669	52.396460848057174
2800	-17.064524962137885	70.38455106102639
2900	-22.03294669956238	63.66797805082025
3000	-14.182589326927147	82.87011769887087
3100	-16.20524539346514	72.25080252901111
3200	-18.91304751813761	122.18818948352214
3300	-17.646222827717846	80.56653768255875
