#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.ExactStructuredCoalescent">
#            <parameter id="epi.timeStep" name="timeStep">0.01</parameter>
#            <parameter dimension="3" id="coalRates" name="coalescentRates">1.0 2.0 4.0</parameter>
#            <parameter dimension="6" id="migRates" name="migrationRates">0.1 0.2 0.01 0.03 0.1 0.1</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">3</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="tree">
#                    <trait id="timeTraitSet" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="inv0_0=0,inv1_0=1,inv2_0=2,inv0_1=1,inv1_1=0,inv0_2=1">
#                        <taxa id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset alignment="@sequences" id="TaxonSet1" spec="beast.evolution.alignment.TaxonSet"/>
#                </tree>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-93.61749150595605	168.7647517722042
100	-57.90874139672331	122.27114465187383
200	-44.72852262241063	88.22256869594185
300	-38.85708433483413	61.55018167292537
400	-16.470883160630397	52.5539075820036
500	-16.630002815723167	61.745623754796895
600	-19.638902910012916	69.52453782939406
700	-17.239361355511313	58.31497458619345
800	-22.204649503228033	51.47443575328667
900	-17.261765023636755	51.09469125081424
1000	-14.251623149910333	30.516387215211378
1100	-13.420291691334958	28.299071877767492
1200	-16.582635724044625	19.276050827829096
1300	-12.15856545316627	15.138046773579902
1400	-13.76745852429043	14.583070217035495
1500	-14.256011155142764	11.645819222069163
1600	-14.647174868403685	8.287590375757272
1700	-10.311777964330336	11.45315207037741
1800	-11.85224166471163	10.316440963497211
1900	-16.084064029978748	12.80207034740167
2000	-13.44127013892405	12.56210781793695
2100	-17.31345394096233	18.241149483198654
2200	-16.624008049135718	19.395927110760336
2300	-11.486960294517152	9.319105330053507
2400	-15.10441345321495	4.475450558578646
2500	-13.542091159425963	3.8663538068549115
2600	-9.519643202273034	9.013682693633315
2700	-15.818983296991064	10.661594047963531
2800	-11.293176521386108	10.33153061528544
2900	-10.66682075292304	11.123296745063131
3000	-13.697795332330541	10.33555254469227
3100	-14.583899692102422	5.211644668519176
3200	-13.162028585204665	4.6048819612494984
3300	-11.747247820906116	3.486247409272075
