#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="Constant" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize" lower="0.0" name="popSize" upper="1000000.0">1.0</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="tree"/>
#            </treeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	tree_height
0	-4.841356472518434	0.9186444637612696
100	-4.800313722966789	2.3559348307352384
200	-5.352252937642665	1.276814984698408
300	-1.3152193993022867	0.8928722741652441
400	-3.3753393423259834	2.768380140546204
500	-2.642035903833669	1.5215720982842842
600	-7.505471018646613	5.208159776548924
700	-3.183416950001687	0.8643341722318523
800	-2.825410965800934	1.735225267641594
900	-4.056681946822401	1.6463932713038187
1000	-3.858763284697027	0.6498982433554342
1100	-2.3770805088121088	0.4655771808929277
1200	-2.9256899081034438	0.6348382555508373
1300	-2.9541805893357487	1.4652617054474923
1400	-3.6554732308528104	1.7107057066823366
1500	-4.297435656483087	1.82968172469006
1600	-1.4068845018972704	0.2178499371076025
1700	-8.582698376551098	2.9917383212415314
1800	-4.456942429129789	2.1664826480550294
1900	-7.017406086736926	3.0358510422616667
2000	-3.3841592364256776	1.4376136212509558
2100	-4.352606084620702	2.3237022684111315
2200	-5.389669155468871	2.4002555856827046
2300	-2.2243493089167146	0.8475167828565794
2400	-0.5391810493921387	0.37318408564704103
2500	-2.301855259415372	1.380763803347325
2600	-1.976219909554222	0.7845823285541647
2700	-3.884758802684512	1.1477350415430672
2800	-4.648630945352515	3.165897780996832
2900	-1.2829861808303828	0.5825721121511988
3000	-2.6579878075342767	0.846516068958843
3100	-2.844583966130889	1.6071021613517114
3200	-3.1827712257492498	1.8921418171345987
3300	-4.304364616691454	2.218330334468006
3400	-5.814578693238582	2.596097540230755
3500	-7.321614112205198	4.719056215375577
3600	-3.103480190990334	1.0186715858105764
3700	-3.3283923022486865	0.7807413937792476
3800	-1.6310002993270778	1.0242407746174909
3900	-3.8531440650949706	1.4731099028506562
4000	-5.970641878569308	2.6147868719248066
4100	-6.445508372143181	3.235876590429742
4200	-7.111565955031703	2.0250907662278603
4300	-4.592593174225185	1.8456491683621108
4400	-6.178570138415903	3.0765727638135427
4500	-3.1330916169983203	1.5280433843906245
4600	-5.4092314118208815	2.4865648165970327
4700	-7.0767329625028434	4.533762719989355
4800	-3.2192524610799027	1.7102436077563552
4900	-3.832604148428225	1.2781136702450098
5000	-4.37813229860454	1.6875575157837137
5100	-1.533876412880634	0.951293761473976
5200	-2.853304935814805	0.4446301579549393
5300	-3.6234753273020934	0.9524980585848444
5400	-3.8374693037283434	1.1984597626098374
5500	-4.591318629931595	1.1685301718032703
5600	-6.1561897258276135	4.265631105147211
5700	-4.597361078635231	1.8005284413192686
5800	-3.0826276997027886	1.8020149231132476
5900	-2.988077840699601	1.4565588263064264
